group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 5,,,,,905098.0,ns,65
fibonacci 5,,,,,1781452.0,ns,130
fibonacci 5,,,,,2772048.0,ns,195
fibonacci 5,,,,,3661315.0,ns,260
fibonacci 5,,,,,4441917.0,ns,325
fibonacci 5,,,,,5497262.0,ns,390
fibonacci 5,,,,,6379959.0,ns,455
fibonacci 5,,,,,7518543.0,ns,520
fibonacci 5,,,,,8442650.0,ns,585
fibonacci 5,,,,,9231676.0,ns,650
fibonacci 5,,,,,10080484.0,ns,715
fibonacci 5,,,,,11030174.0,ns,780
fibonacci 5,,,,,12411614.0,ns,845
fibonacci 5,,,,,12788799.0,ns,910
fibonacci 5,,,,,12549215.0,ns,975
fibonacci 5,,,,,15092799.0,ns,1040
fibonacci 5,,,,,14896326.0,ns,1105
fibonacci 5,,,,,15864058.0,ns,1170
fibonacci 5,,,,,18155581.0,ns,1235
fibonacci 5,,,,,18118342.0,ns,1300
fibonacci 5,,,,,20357051.0,ns,1365
fibonacci 5,,,,,19988311.0,ns,1430
fibonacci 5,,,,,21913070.0,ns,1495
fibonacci 5,,,,,22408373.0,ns,1560
fibonacci 5,,,,,23762946.0,ns,1625
fibonacci 5,,,,,24850260.0,ns,1690
fibonacci 5,,,,,33115124.0,ns,1755
fibonacci 5,,,,,35304126.0,ns,1820
fibonacci 5,,,,,32522198.0,ns,1885
fibonacci 5,,,,,70438100.0,ns,1950
fibonacci 5,,,,,42843269.0,ns,2015
fibonacci 5,,,,,38247834.0,ns,2080
fibonacci 5,,,,,35357459.0,ns,2145
fibonacci 5,,,,,34680816.0,ns,2210
fibonacci 5,,,,,35191631.0,ns,2275
fibonacci 5,,,,,39156135.0,ns,2340
fibonacci 5,,,,,37210661.0,ns,2405
fibonacci 5,,,,,38676891.0,ns,2470
fibonacci 5,,,,,39268281.0,ns,2535
fibonacci 5,,,,,40776010.0,ns,2600
fibonacci 5,,,,,38978818.0,ns,2665
fibonacci 5,,,,,38613157.0,ns,2730
fibonacci 5,,,,,39353418.0,ns,2795
fibonacci 5,,,,,43127199.0,ns,2860
fibonacci 5,,,,,41231983.0,ns,2925
fibonacci 5,,,,,44942999.0,ns,2990
fibonacci 5,,,,,46152469.0,ns,3055
fibonacci 5,,,,,46743163.0,ns,3120
fibonacci 5,,,,,46244647.0,ns,3185
fibonacci 5,,,,,48332137.0,ns,3250
fibonacci 5,,,,,49654529.0,ns,3315
fibonacci 5,,,,,51258055.0,ns,3380
fibonacci 5,,,,,52738227.0,ns,3445
fibonacci 5,,,,,51028853.0,ns,3510
fibonacci 5,,,,,52368821.0,ns,3575
fibonacci 5,,,,,52298246.0,ns,3640
fibonacci 5,,,,,54398967.0,ns,3705
fibonacci 5,,,,,54532585.0,ns,3770
fibonacci 5,,,,,57027015.0,ns,3835
fibonacci 5,,,,,57268209.0,ns,3900
fibonacci 5,,,,,57795345.0,ns,3965
fibonacci 5,,,,,61029443.0,ns,4030
fibonacci 5,,,,,67118724.0,ns,4095
fibonacci 5,,,,,63034705.0,ns,4160
fibonacci 5,,,,,59866350.0,ns,4225
fibonacci 5,,,,,62284158.0,ns,4290
fibonacci 5,,,,,61719311.0,ns,4355
fibonacci 5,,,,,64971153.0,ns,4420
fibonacci 5,,,,,67912853.0,ns,4485
fibonacci 5,,,,,66486975.0,ns,4550
fibonacci 5,,,,,70854306.0,ns,4615
fibonacci 5,,,,,69483431.0,ns,4680
fibonacci 5,,,,,86888229.0,ns,4745
fibonacci 5,,,,,88878334.0,ns,4810
fibonacci 5,,,,,71233791.0,ns,4875
fibonacci 5,,,,,75232875.0,ns,4940
fibonacci 5,,,,,77809421.0,ns,5005
fibonacci 5,,,,,79399945.0,ns,5070
fibonacci 5,,,,,76594863.0,ns,5135
fibonacci 5,,,,,75397595.0,ns,5200
fibonacci 5,,,,,77828573.0,ns,5265
fibonacci 5,,,,,81006893.0,ns,5330
fibonacci 5,,,,,77820355.0,ns,5395
fibonacci 5,,,,,80778075.0,ns,5460
fibonacci 5,,,,,81663553.0,ns,5525
fibonacci 5,,,,,86724684.0,ns,5590
fibonacci 5,,,,,81833732.0,ns,5655
fibonacci 5,,,,,82113505.0,ns,5720
fibonacci 5,,,,,83835917.0,ns,5785
fibonacci 5,,,,,89458811.0,ns,5850
fibonacci 5,,,,,93403111.0,ns,5915
fibonacci 5,,,,,93920577.0,ns,5980
fibonacci 5,,,,,95884660.0,ns,6045
fibonacci 5,,,,,88847447.0,ns,6110
fibonacci 5,,,,,94127626.0,ns,6175
fibonacci 5,,,,,93854132.0,ns,6240
fibonacci 5,,,,,95506336.0,ns,6305
fibonacci 5,,,,,94137722.0,ns,6370
fibonacci 5,,,,,95671136.0,ns,6435
fibonacci 5,,,,,98384844.0,ns,6500
