group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 40,,,,,8860074.0,ns,1
fibonacci 40,,,,,18511371.0,ns,2
fibonacci 40,,,,,26285454.0,ns,3
fibonacci 40,,,,,35634669.0,ns,4
fibonacci 40,,,,,44172395.0,ns,5
fibonacci 40,,,,,53009741.0,ns,6
fibonacci 40,,,,,61437780.0,ns,7
fibonacci 40,,,,,70402523.0,ns,8
fibonacci 40,,,,,79366556.0,ns,9
fibonacci 40,,,,,89050014.0,ns,10
fibonacci 40,,,,,97181434.0,ns,11
fibonacci 40,,,,,105692844.0,ns,12
fibonacci 40,,,,,114735776.0,ns,13
fibonacci 40,,,,,123704219.0,ns,14
fibonacci 40,,,,,132959754.0,ns,15
fibonacci 40,,,,,141446701.0,ns,16
fibonacci 40,,,,,149540029.0,ns,17
fibonacci 40,,,,,158526755.0,ns,18
fibonacci 40,,,,,166788956.0,ns,19
fibonacci 40,,,,,175373502.0,ns,20
fibonacci 40,,,,,185165855.0,ns,21
fibonacci 40,,,,,192978560.0,ns,22
fibonacci 40,,,,,201381300.0,ns,23
fibonacci 40,,,,,211393440.0,ns,24
fibonacci 40,,,,,219337288.0,ns,25
fibonacci 40,,,,,232398277.0,ns,26
fibonacci 40,,,,,241490610.0,ns,27
fibonacci 40,,,,,248165035.0,ns,28
fibonacci 40,,,,,256682982.0,ns,29
fibonacci 40,,,,,265289213.0,ns,30
fibonacci 40,,,,,283635527.0,ns,31
fibonacci 40,,,,,337397547.0,ns,32
fibonacci 40,,,,,300708110.0,ns,33
fibonacci 40,,,,,303607791.0,ns,34
fibonacci 40,,,,,311417004.0,ns,35
fibonacci 40,,,,,322181728.0,ns,36
fibonacci 40,,,,,326766640.0,ns,37
fibonacci 40,,,,,340986678.0,ns,38
fibonacci 40,,,,,349509809.0,ns,39
fibonacci 40,,,,,355520137.0,ns,40
fibonacci 40,,,,,367535826.0,ns,41
fibonacci 40,,,,,365262572.0,ns,42
fibonacci 40,,,,,376412032.0,ns,43
fibonacci 40,,,,,386463652.0,ns,44
fibonacci 40,,,,,394860904.0,ns,45
fibonacci 40,,,,,429887882.0,ns,46
fibonacci 40,,,,,428395237.0,ns,47
fibonacci 40,,,,,474198856.0,ns,48
fibonacci 40,,,,,438341759.0,ns,49
fibonacci 40,,,,,443392584.0,ns,50
fibonacci 40,,,,,447551867.0,ns,51
fibonacci 40,,,,,453751345.0,ns,52
fibonacci 40,,,,,463277188.0,ns,53
fibonacci 40,,,,,472989727.0,ns,54
fibonacci 40,,,,,484608745.0,ns,55
fibonacci 40,,,,,495631526.0,ns,56
fibonacci 40,,,,,500413405.0,ns,57
fibonacci 40,,,,,510796520.0,ns,58
fibonacci 40,,,,,565979164.0,ns,59
fibonacci 40,,,,,542974222.0,ns,60
fibonacci 40,,,,,536563789.0,ns,61
fibonacci 40,,,,,543341314.0,ns,62
fibonacci 40,,,,,556554405.0,ns,63
fibonacci 40,,,,,562978346.0,ns,64
fibonacci 40,,,,,571521193.0,ns,65
fibonacci 40,,,,,578414682.0,ns,66
fibonacci 40,,,,,581004212.0,ns,67
fibonacci 40,,,,,591178605.0,ns,68
fibonacci 40,,,,,625036025.0,ns,69
fibonacci 40,,,,,624625061.0,ns,70
fibonacci 40,,,,,629179228.0,ns,71
fibonacci 40,,,,,636025927.0,ns,72
fibonacci 40,,,,,652991838.0,ns,73
fibonacci 40,,,,,654237076.0,ns,74
fibonacci 40,,,,,662533203.0,ns,75
fibonacci 40,,,,,673880148.0,ns,76
fibonacci 40,,,,,699465103.0,ns,77
fibonacci 40,,,,,705515619.0,ns,78
fibonacci 40,,,,,697848836.0,ns,79
fibonacci 40,,,,,703000295.0,ns,80
fibonacci 40,,,,,714376306.0,ns,81
fibonacci 40,,,,,719235175.0,ns,82
fibonacci 40,,,,,730360054.0,ns,83
fibonacci 40,,,,,739385066.0,ns,84
fibonacci 40,,,,,815992665.0,ns,85
fibonacci 40,,,,,773612351.0,ns,86
fibonacci 40,,,,,756644377.0,ns,87
fibonacci 40,,,,,771213995.0,ns,88
fibonacci 40,,,,,782972975.0,ns,89
fibonacci 40,,,,,797374964.0,ns,90
fibonacci 40,,,,,801113070.0,ns,91
fibonacci 40,,,,,828406396.0,ns,92
fibonacci 40,,,,,837428150.0,ns,93
fibonacci 40,,,,,829835809.0,ns,94
fibonacci 40,,,,,836501440.0,ns,95
fibonacci 40,,,,,848462518.0,ns,96
fibonacci 40,,,,,856303124.0,ns,97
fibonacci 40,,,,,868774276.0,ns,98
fibonacci 40,,,,,913941981.0,ns,99
fibonacci 40,,,,,884482153.0,ns,100
