group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 40,,,,,10638250.0,ns,1
fibonacci 40,,,,,21315881.0,ns,2
fibonacci 40,,,,,31570425.0,ns,3
fibonacci 40,,,,,43012880.0,ns,4
fibonacci 40,,,,,54695967.0,ns,5
fibonacci 40,,,,,65788792.0,ns,6
fibonacci 40,,,,,81448046.0,ns,7
fibonacci 40,,,,,105394414.0,ns,8
fibonacci 40,,,,,97554326.0,ns,9
fibonacci 40,,,,,115713472.0,ns,10
fibonacci 40,,,,,124173585.0,ns,11
fibonacci 40,,,,,131997205.0,ns,12
fibonacci 40,,,,,138133851.0,ns,13
fibonacci 40,,,,,151786490.0,ns,14
fibonacci 40,,,,,163699218.0,ns,15
fibonacci 40,,,,,172574137.0,ns,16
fibonacci 40,,,,,180755855.0,ns,17
fibonacci 40,,,,,190929065.0,ns,18
fibonacci 40,,,,,201290998.0,ns,19
fibonacci 40,,,,,209593105.0,ns,20
fibonacci 40,,,,,213519585.0,ns,21
fibonacci 40,,,,,225978071.0,ns,22
fibonacci 40,,,,,235963903.0,ns,23
fibonacci 40,,,,,244951260.0,ns,24
fibonacci 40,,,,,258332723.0,ns,25
fibonacci 40,,,,,260378012.0,ns,26
fibonacci 40,,,,,271796328.0,ns,27
fibonacci 40,,,,,284038996.0,ns,28
fibonacci 40,,,,,286485577.0,ns,29
fibonacci 40,,,,,304128293.0,ns,30
fibonacci 40,,,,,316100949.0,ns,31
fibonacci 40,,,,,345058216.0,ns,32
fibonacci 40,,,,,354776321.0,ns,33
fibonacci 40,,,,,375577574.0,ns,34
fibonacci 40,,,,,367445586.0,ns,35
fibonacci 40,,,,,377660941.0,ns,36
fibonacci 40,,,,,386662552.0,ns,37
fibonacci 40,,,,,393518202.0,ns,38
fibonacci 40,,,,,406260653.0,ns,39
fibonacci 40,,,,,416982310.0,ns,40
fibonacci 40,,,,,423863593.0,ns,41
fibonacci 40,,,,,429060797.0,ns,42
fibonacci 40,,,,,432553761.0,ns,43
fibonacci 40,,,,,448465710.0,ns,44
fibonacci 40,,,,,459528845.0,ns,45
fibonacci 40,,,,,482120695.0,ns,46
fibonacci 40,,,,,552241158.0,ns,47
fibonacci 40,,,,,498785775.0,ns,48
fibonacci 40,,,,,508077516.0,ns,49
fibonacci 40,,,,,514339784.0,ns,50
fibonacci 40,,,,,526826515.0,ns,51
fibonacci 40,,,,,543151676.0,ns,52
fibonacci 40,,,,,544054479.0,ns,53
fibonacci 40,,,,,546269696.0,ns,54
fibonacci 40,,,,,558353138.0,ns,55
fibonacci 40,,,,,558522414.0,ns,56
fibonacci 40,,,,,580912143.0,ns,57
fibonacci 40,,,,,621405344.0,ns,58
fibonacci 40,,,,,620714939.0,ns,59
fibonacci 40,,,,,617605520.0,ns,60
fibonacci 40,,,,,635159395.0,ns,61
fibonacci 40,,,,,642149218.0,ns,62
fibonacci 40,,,,,654036349.0,ns,63
fibonacci 40,,,,,661762378.0,ns,64
fibonacci 40,,,,,674047587.0,ns,65
fibonacci 40,,,,,677212384.0,ns,66
fibonacci 40,,,,,706432533.0,ns,67
fibonacci 40,,,,,715904576.0,ns,68
fibonacci 40,,,,,716708842.0,ns,69
fibonacci 40,,,,,723586056.0,ns,70
fibonacci 40,,,,,738053841.0,ns,71
fibonacci 40,,,,,733288831.0,ns,72
fibonacci 40,,,,,732790539.0,ns,73
fibonacci 40,,,,,792715749.0,ns,74
fibonacci 40,,,,,799594705.0,ns,75
fibonacci 40,,,,,819964654.0,ns,76
fibonacci 40,,,,,799149080.0,ns,77
fibonacci 40,,,,,798060934.0,ns,78
fibonacci 40,,,,,813989300.0,ns,79
fibonacci 40,,,,,845449869.0,ns,80
fibonacci 40,,,,,924620004.0,ns,81
fibonacci 40,,,,,879373110.0,ns,82
fibonacci 40,,,,,872578472.0,ns,83
fibonacci 40,,,,,877240585.0,ns,84
fibonacci 40,,,,,869534844.0,ns,85
fibonacci 40,,,,,885590803.0,ns,86
fibonacci 40,,,,,911493556.0,ns,87
fibonacci 40,,,,,946762857.0,ns,88
fibonacci 40,,,,,968576907.0,ns,89
fibonacci 40,,,,,1026832301.0,ns,90
fibonacci 40,,,,,933085729.0,ns,91
fibonacci 40,,,,,951457128.0,ns,92
fibonacci 40,,,,,944988621.0,ns,93
fibonacci 40,,,,,935715853.0,ns,94
fibonacci 40,,,,,939735075.0,ns,95
fibonacci 40,,,,,1015275790.0,ns,96
fibonacci 40,,,,,991051550.0,ns,97
fibonacci 40,,,,,978026154.0,ns,98
fibonacci 40,,,,,1002689215.0,ns,99
fibonacci 40,,,,,992867191.0,ns,100
