group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 20,,,,,10898228.0,ns,1
fibonacci 20,,,,,20350725.0,ns,2
fibonacci 20,,,,,30977503.0,ns,3
fibonacci 20,,,,,39447920.0,ns,4
fibonacci 20,,,,,49177304.0,ns,5
fibonacci 20,,,,,61212548.0,ns,6
fibonacci 20,,,,,70042417.0,ns,7
fibonacci 20,,,,,81181475.0,ns,8
fibonacci 20,,,,,90484180.0,ns,9
fibonacci 20,,,,,104471648.0,ns,10
fibonacci 20,,,,,111832549.0,ns,11
fibonacci 20,,,,,119108172.0,ns,12
fibonacci 20,,,,,126995040.0,ns,13
fibonacci 20,,,,,140141095.0,ns,14
fibonacci 20,,,,,147551957.0,ns,15
fibonacci 20,,,,,161098666.0,ns,16
fibonacci 20,,,,,170933889.0,ns,17
fibonacci 20,,,,,178392183.0,ns,18
fibonacci 20,,,,,186821624.0,ns,19
fibonacci 20,,,,,201781689.0,ns,20
fibonacci 20,,,,,212720560.0,ns,21
fibonacci 20,,,,,215131025.0,ns,22
fibonacci 20,,,,,229108583.0,ns,23
fibonacci 20,,,,,265552491.0,ns,24
fibonacci 20,,,,,262841650.0,ns,25
fibonacci 20,,,,,328567258.0,ns,26
fibonacci 20,,,,,312740876.0,ns,27
fibonacci 20,,,,,273716238.0,ns,28
fibonacci 20,,,,,287381122.0,ns,29
fibonacci 20,,,,,294401158.0,ns,30
fibonacci 20,,,,,299494766.0,ns,31
fibonacci 20,,,,,329367038.0,ns,32
fibonacci 20,,,,,331758567.0,ns,33
fibonacci 20,,,,,337918020.0,ns,34
fibonacci 20,,,,,353200374.0,ns,35
fibonacci 20,,,,,356416761.0,ns,36
fibonacci 20,,,,,369702068.0,ns,37
fibonacci 20,,,,,379812813.0,ns,38
fibonacci 20,,,,,391271997.0,ns,39
fibonacci 20,,,,,403041904.0,ns,40
fibonacci 20,,,,,422130071.0,ns,41
fibonacci 20,,,,,477479826.0,ns,42
fibonacci 20,,,,,468487266.0,ns,43
fibonacci 20,,,,,443994879.0,ns,44
fibonacci 20,,,,,454134358.0,ns,45
fibonacci 20,,,,,446737828.0,ns,46
fibonacci 20,,,,,471445155.0,ns,47
fibonacci 20,,,,,467663722.0,ns,48
fibonacci 20,,,,,489469655.0,ns,49
fibonacci 20,,,,,503880874.0,ns,50
fibonacci 20,,,,,503892497.0,ns,51
fibonacci 20,,,,,534010948.0,ns,52
fibonacci 20,,,,,531807319.0,ns,53
fibonacci 20,,,,,671822024.0,ns,54
fibonacci 20,,,,,542798687.0,ns,55
fibonacci 20,,,,,561503162.0,ns,56
fibonacci 20,,,,,566747923.0,ns,57
fibonacci 20,,,,,578886941.0,ns,58
fibonacci 20,,,,,598037486.0,ns,59
fibonacci 20,,,,,603918847.0,ns,60
fibonacci 20,,,,,601887100.0,ns,61
fibonacci 20,,,,,608339670.0,ns,62
fibonacci 20,,,,,637320329.0,ns,63
fibonacci 20,,,,,647650435.0,ns,64
fibonacci 20,,,,,654115982.0,ns,65
fibonacci 20,,,,,663030289.0,ns,66
fibonacci 20,,,,,655708337.0,ns,67
fibonacci 20,,,,,695156681.0,ns,68
fibonacci 20,,,,,684608351.0,ns,69
fibonacci 20,,,,,700133833.0,ns,70
fibonacci 20,,,,,707986416.0,ns,71
fibonacci 20,,,,,780571333.0,ns,72
fibonacci 20,,,,,732380396.0,ns,73
fibonacci 20,,,,,740371025.0,ns,74
fibonacci 20,,,,,750401208.0,ns,75
fibonacci 20,,,,,908703922.0,ns,76
fibonacci 20,,,,,808114080.0,ns,77
fibonacci 20,,,,,806139944.0,ns,78
fibonacci 20,,,,,845532276.0,ns,79
fibonacci 20,,,,,838862236.0,ns,80
fibonacci 20,,,,,841216125.0,ns,81
fibonacci 20,,,,,863575750.0,ns,82
fibonacci 20,,,,,917745876.0,ns,83
fibonacci 20,,,,,928034375.0,ns,84
fibonacci 20,,,,,908199273.0,ns,85
fibonacci 20,,,,,900098506.0,ns,86
fibonacci 20,,,,,922314807.0,ns,87
fibonacci 20,,,,,931299704.0,ns,88
fibonacci 20,,,,,959701100.0,ns,89
fibonacci 20,,,,,977745567.0,ns,90
fibonacci 20,,,,,962110232.0,ns,91
fibonacci 20,,,,,951402431.0,ns,92
fibonacci 20,,,,,964872012.0,ns,93
fibonacci 20,,,,,962521460.0,ns,94
fibonacci 20,,,,,1042111058.0,ns,95
fibonacci 20,,,,,1026399554.0,ns,96
fibonacci 20,,,,,1014120233.0,ns,97
fibonacci 20,,,,,1006098451.0,ns,98
fibonacci 20,,,,,1069663491.0,ns,99
fibonacci 20,,,,,1138294098.0,ns,100
